Name,UUID,ThatId,S,r,R,g,G,m,M,P,d,D,n,N
Abhogi,d9c603fa-875f-4b84-b851-c6a345427898,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhogi kanada,fccd4e35-165d-4c57-9e52-73b370f548dd,0,0,0,0,0,0,0,0,0,0,0,0,0
Adana,40ebda55-a01a-4e03-be12-26e7e8239f8d,0,0,0,0,0,0,0,0,0,0,0,0,0
Adana malhar,34709b07-06bf-4135-aaae-8bf8b6efd7e8,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahir bhairav,f6432fec-e9c2-4b09-9e73-c46086cbd8ea,4,1,1,0,0,1,1,0,1,0,1,1,0
Ahir lalat,c74945a4-bc4a-4c34-92f5-8888e5ed3519,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahiri todi,030012bd-275b-465a-88b9-dc9553fd14d2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alahiya bilawal,2ed9379f-14c9-49af-8e4d-f9b63e96801f,1,1,0,0.5,0,1,0.5,0,1,0,1,0.5,1
Ambika,91bde85b-5ebd-44b3-8ffb-fd1acc8a14f6,0,0,0,0,0,0,0,0,0,0,0,0,0
Amrit varshini,a20bf6cd-baa6-407a-a276-89ff3a2e4472,0,0,0,0,0,0,0,0,0,0,0,0,0
Anand malhar,6df8b8ad-3f60-4f08-9663-b7efb3dd7fb6,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabhi,e6ba5bbe-43b7-4a60-ba46-9f605ad19820,0,0,0,0,0,0,0,0,0,0,0,0,0
Asa mand,f3a102a6-7403-4e1c-a628-2c9944aff276,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashta raga malika,ef934f51-574a-4062-8cba-3741c50e27cc,0,0,0,0,0,0,0,0,0,0,0,0,0
Bageshree,7591faad-e68a-4550-b675-8082842c6056,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahaduri todi,164c7ead-32a7-4184-85d3-a26a71c6b9b9,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahar,5688eac9-1196-4baf-ba57-c96bab414022,0,0,0,0,0,0,0,0,0,0,0,0,0
Bairagi,b143adaa-f1a6-4de4-8985-a5bd35e96279,0,0,0,0,0,0,0,0,0,0,0,0,0
Bairagi bhairav,346401a4-1c4b-4f40-a855-55390ba2d39e,0,0,0,0,0,0,0,0,0,0,0,0,0
Basant,ecd04ceb-b46c-47fc-9045-84ac9160e527,0,0,0,0,0,0,0,0,0,0,0,0,0
Basant bahar,26e43b26-86b2-49e5-b6fe-9c45112493c5,0,0,0,0,0,0,0,0,0,0,0,0,0
Basant mukhari,996d8e0a-50bd-432b-af7a-29d718f2db45,0,0,0,0,0,0,0,0,0,0,0,0,0
Basanti kedar,91cae195-e93a-4c6f-9b34-e898d0444d9e,0,0,0,0,0,0,0,0,0,0,0,0,0
Beehad bairav,bc3aa05b-078e-43f7-b54f-0a6b56729225,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhageshree kanada,5220eb97-d929-4769-b4bb-be85e85ab767,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhairabi,e6710c21-4b6c-413d-abb5-2146bad52b9d,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhairav bahar,7b2e0d10-2d64-435b-9624-3990a81aa9a8,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhairavi dhun,ca8bc1d6-b90d-444c-9cf9-c3e4aec5109b,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhatiyar,95dad5c5-8d27-4be8-a37d-86ddd0ccb2af,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhavmat bhairav,fcb1a1f9-70ae-4524-a64a-dad41a0f6d53,0,0,0,0,0,0,0,0,0,0,0,0,0
Bheem,b30ae272-b01a-40af-970c-8f42a6232f97,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhimpalas,24a85738-02e8-4b0e-9098-926f57c19a50,7,1,0,0.5,1,0,1,0,1,0,0.5,1,0
Bhoop,e771a74d-545d-41d5-816b-43403a818b0c,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopali,78f439fa-88ba-480e-be87-4d65311df381,2,1,0,1,0,1,0,0,1,0,1,0,0
Bhupal todi,ba55fe89-1369-4966-8645-e29cf1eb3f43,0,0,0,0,0,0,0,0,0,0,0,0,0
Bibhas,179a85b3-ab72-4316-96e5-4e9e408639d7,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihag,a7d98897-e2fe-4d75-b9dc-e5b4dc88e1c6,1,1,0,0.5,0,1,0.5,0,1,0,0.5,0,1
Bihagda,83b41231-5d8d-45ae-8d54-bdbd262666f1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilaskhani,5ea3c0a4-e582-4a88-aaa4-7ab08faf1a15,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilaskhani todi,dd59147d-8775-44ff-a36b-0d9f15b31319,9,1,1,0,1,0,0.5,0,1,1,0,1,0
Binna shadja,debe84d7-557f-4e7a-8983-85108e26f48c,0,0,0,0,0,0,0,0,0,0,0,0,0
Brindavani sarang,886b43c6-3fdd-4f92-bf5a-2e1303308ee5,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaiti bhoop,fa21ea3e-f901-4386-b6f2-2a16ecbdd22d,0,0,0,0,0,0,0,0,0,0,0,0,0
Champak,42ef0bb4-bd24-43c6-8bab-0cb2300f67d9,0,0,0,0,0,0,0,0,0,0,0,0,0
Gauri basant,c10c2182-18a2-4172-9172-e5767b42bee5,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorakh kalyan,d683a48e-aa43-4784-bf1b-a30bc0b59344,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunakri,30577ddb-8916-45b0-b789-2bc8dcd201a0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gurjari todi,dd85de6c-330a-490a-a5af-a0ecd7893671,0,0,0,0,0,0,0,0,0,0,0,0,0
Hameer,0e57e441-ccee-4df2-9874-949a653714ef,0,0,0,0,0,0,0,0,1,0,0,0,0
Hamsadhvani,595de771-fcc2-414c-9df6-ae4ffd898549,0,0,0,0,0,0,0,0,0,0,0,0,0
Hansnarayini,a66a01dc-d4a3-4c93-bd44-b64aa85a8d8e,0,0,0,0,0,0,0,0,0,0,0,0,0
Hem bihag,ad3dde0a-cab6-4e15-a9e8-582cf8e080e6,0,0,0,0,0,0,0,0,0,0,0,0,0
Hem lalit,43ee8727-a0d3-43f0-aac5-1be1cb772378,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemavanti,8a5c3fca-dbc5-4af5-a3db-08d206e16a4a,0,0,0,0,0,0,0,0,0,0,0,0,0
Hindol,b5e5b83c-42b1-4b84-9238-248cde42c77d,0,0,0,0,0,0,0,0,0,0,0,0,0
Husseini kanada,f2d50f2b-75be-4c52-a2c9-2532650f106b,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaijaivanti,3ab135e0-a5e9-4313-9a11-f7dcc6b48a9f,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaunpuri,80f3ec4b-d9db-4bc3-8186-9e6b0581f31a,8,1,0,1,0.5,0,1,0,1,0.5,0,0.5,0
Jayawanti todi,868bcf93-4178-4778-a559-c3f443649054,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhinjhat manj,6bd3a50c-4f46-4117-9959-30ff7796e95a,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhinjhoti,6bb47138-6448-4828-bf5f-7a466d94484e,0,0,0,0,0,0,0,0,0,0,0,0,0
Jog,063ea5a0-23b1-4bb5-8537-3d924fe8ebb3,0,0,0,0,0,0,0,0,0,0,0,0,0
Jogia,747969d2-97d9-4acf-82cb-8811171ddef9,0,0,0,0,0,0,0,0,0,0,0,0,0
Jogia asawari,2db7495a-98a8-459f-8d53-0e475dbfe597,0,0,0,0,0,0,0,0,0,0,0,0,0
Jogkauns,0f0d242d-3c2c-4e06-b3a4-6ff8001d1c22,0,0,0,0,0,0,0,0,0,0,0,0,0
Kafi kanada,3574f1f9-890e-43a1-aa33-82839ff893ec,0,0,0,0,0,0,0,0,0,0,0,0,0
Kafi tappa,759ea167-f45c-4960-b2c2-2ca41824c9f6,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalashree,51ee2513-1a2c-4ae8-abc5-8cff72c2e4a1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalavati,7c9ab484-a912-4b8e-b421-5751f9b1e104,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalyan,fd01b618-a48a-4a29-9a2d-8d494cdc3350,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalyani,c344b820-ba4e-4db7-ba28-33d2e7f1d376,0,0,0,0,0,0,0,0,0,0,0,0,0
Kambhoji,88965a41-957a-42d3-a8da-80a27e797c09,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamodvanti,1170fa33-ee31-4ce7-9c73-aa6ae4b034c2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanada,f011a874-2785-4873-b194-e1a29115bc58,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaunsi kanara,2fe9f79c-7955-4dcd-939a-e0a73173c07f,8,1,0,0.5,1,0,1,0,0.5,1,0,1,0
Kaushi dhwani,c2de0c9b-8bd5-4090-b248-100d5c98c4b8,0,0,0,0,0,0,0,0,0,0,0,0,0
Kedar,a9ee554f-f146-43e9-b2d0-9bb31fd4b57d,0,0,0,0,0,0,0,0,0,0,0,0,0
Khamaj,93c73081-bdf8-4eca-b325-d736b71e9b4b,3,1,0,0.5,0,1,1,0,1,0,1,1,1
Khamaj bahar,3c91af88-efc9-45c6-8768-d5c05567315e,0,0,0,0,0,0,0,0,0,0,0,0,0
Khambawati,914ea213-6fec-49fc-826f-b9351b3452cd,0,0,0,0,0,0,0,0,0,0,0,0,0
Khat,a8903336-4768-4633-9957-1a2517b2c7a7,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirwani,aad22288-2d33-4afd-be76-1690b42dc9e2,0,0,0,0,0,0,0,0,0,0,0,0,0
Champakali,0d1a30a9-6424-417a-a153-75a1a8264f02,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandani kedar,cdf0fb50-f069-42ac-baf9-32c574e3a2c6,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandrakauns,4c2fc9cf-7f02-4afb-a60e-cf9f7c12f2ae,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandramauli,6fd780c4-75e8-4223-8c1a-8d39ee977e0a,0,0,0,0,0,0,0,0,0,0,0,0,0
Charukeshi,d64fc96b-3eee-4706-9813-3c990991bd89,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaya malhar,5a59b63a-153a-4da9-9f34-9e233062726e,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhaya nat,671e87a1-d6f5-4b3d-867f-af7117a4068e,0,0,0,0,0,0,0,0,0,0,0,0,0
Darbari,118401e7-8de8-4d81-9d8e-8070889e3fa8,0,0,0,0,0,0,0,0,0,0,0,0,0
Darbari todi,6a23794c-c36c-46a5-90a6-46e85451d3cf,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepawali,6d085bff-124f-46cb-8a4b-a3151a6d35b4,0,0,0,0,0,0,0,0,0,0,0,0,0
Des,62b79291-73b0-4c77-a353-0f8bc6ed8362,0,0,0,0,0,0,0,0,0,0,0,0,0
Desh malhar,005e1459-ca7e-464a-99d6-3b98b7f393fb,0,0,0,0,0,0,0,0,0,0,0,0,0
Deshkar,c8d5b1ed-3c68-4fb8-8d25-075e9ada76ba,0,0,0,0,0,0,0,0,0,0,0,0,0
Desi,96ef352a-9baf-4ba9-a628-9cabb59b2175,7,1,0,1,1,0,0.5,0,1,0,1,0.5,0
Desi todi,e3c31149-2d13-4ed6-87b4-5b09629d060a,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev gandhar,48713f7f-e653-42a0-9e5f-8278ba71662d,0,0,0,0,0,0,0,0,0,0,0,0,0
Devgiri bilawal,6aa9fb11-23f9-4a53-9e0c-302fdfc82bd3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhanashree,127b87c3-aa50-4a1a-a403-638f7a61cc1c,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhani,23511a96-eb43-4d9c-ad70-491d356071b6,0,0,0,0,0,0,0,0,0,0,0,0,0
Din ki puriya,2af4fcd2-386f-415b-909c-6587f97f455b,0,0,0,0,0,0,0,0,0,0,0,0,0
